company,venue,zone,booth_no,brand,products,registered
"Shenzhen Longzhiguan Import And Export Terding Co., Ltd.",TaiNEX 1,International,N0024,POWER CASE,"Computer Case,PC Cooling & Fan",2026-03
"Shenzhen Loyal Electronics Co., Ltd",TaiNEX 2,Consumer Electronic Accessories,P1429,,"PC Cooling & Fan,Gaming Mouse ,Gaming Keyboard",2026-03
"Shenzhen Lvlian Technology Co., Ltd",TaiNEX 1,International,N1326,,Networking Storage,2026-03
"shenzhen macwell electronics co.,ltd",TaiNEX 2,InnoVEX,S0806,,"AI,Edge AI",
"SHENZHEN MADIGI ELECTRONIC TECHNOLOGY CO.,LTD",TaiNEX 1,System Integration Solution,N1102,MADIGI,"Tablet PC,Mini PC Barebone,Laptop Computer",
"Shenzhen Maono Technology Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q0532,Maono,"Head & Bluetooth Earphone,Headset,Microphone",2026-03
"Shenzhen Maxtang Computer Co., Ltd",TaiNEX 2,Industrial IoT & Embedded Systems,P1029,Maxtang,"Industrial Computer,Industrial Motherboard,POS System,Kiosk,IIoT Platform,IIoT Solution,Single Board Computer (SBC) ,Digital Signage",
"Shenzhen Meetion Tech Co., Limited",TaiNEX 2,Consumer Electronic Accessories,Q0117,Meetion,"Game Controller & Joystick,Gaming Headphone & Headset & Microphone,Gaming Keyboard",
Shenzhen MinDe Electronics Technology Ltd.,TaiNEX 2,Intelligent Business Solutions,P0403a,,Bar Code Scanner,2026-03
"SHENZHEN MINEW TECHNOLOGIES CO., LTD.",TWTC Hall 1,ePaper Pavilion,D0133,,E-paper Display,
"Shenzhen NST Industry and Trade Co.,Ltd",TaiNEX 1,System Integration Solution,L0501a,NST,"All-In-One & Desktop Computer,Laptop Computer",2026-03
"Shenzhen Oreton Technology Co., Ltd",TaiNEX 2,Storage & Management Solutions,R0305,Oreton,"PC Motherboard,Solid State Drive (SSD),Disk Enclosure,USB Flash Drive,DRAM",
"Shenzhen OSCOO Tech Co.,Limited",TaiNEX 2,Storage & Management Solutions,R1225,OSCOO,"Solid State Drive (SSD),USB Flash Drive,Memory Card",2026-03
"ShenZhen PentaWave Technology Co., Ltd",TaiNEX 1,International,N1332,,"Heat Sink & Pipe,PC Cooling & Fan,Heat Dissipation Material",2026-03
"Shenzhen Piesia Electronic Technology Co., Ltd",TaiNEX 2,Industrial IoT & Embedded Systems,P0830,,"Industrial Computer,Embedded Products,IIoT Solution,Industrial Panel PC",2026-03
"ShenZhen Realbom Intellitech CO.,LTD",TaiNEX 2,Industrial IoT & Embedded Systems,P0630,,"Industrial Computer,Embedded Products,Industrial Motherboard",
"Shenzhen Rrj-Display Technology Co.,Ltd",TaiNEX 2,InnoVEX,S0113,,Industrial Computer,
"ShenZhen Scodeno Technology Co., Ltd",TaiNEX 1,Advanced Communication & Networking,K1129a,,Network Switch,2026-03
"Shenzhen Share Technology Co., Ltd",TaiNEX 1,System Integration Solution,L0102,"Share RDP, Fanlian","Mini PC Barebone,All-In-One & Desktop Computer,Laptop Computer,Industrial Computer,Other Special Computer Systems,PC Motherboard,Computer Terminal",2026-03
"Shenzhen Sharevdi Technology Co., Ltd",TaiNEX 2,Industrial IoT & Embedded Systems,Q0401,ShareVDI,"Mini PC Barebone,All-In-One & Desktop Computer,Industrial Computer,Industrial Motherboard,Industrial Panel PC",2026-03
"ShenZhen ShiZao Electronic Technology Co., Ltd.",TaiNEX 1,International,N0012,,"Mini PC Barebone,All-In-One & Desktop Computer,Other Special Computer Systems",2026-03
"SHENZHEN TENG DA XING ELECTRONIC CO.,LTD",TaiNEX 1,Components & Advanced Power Tech,I1301,,"Switching Power Supply,AC / DC Adapter",2026-03
"Shenzhen Thinkview Tech Co., Ltd",TaiNEX 1,System Integration Solution,M0529,Thinkview,"Tablet PC,Mini PC Barebone,All-In-One & Desktop Computer,Laptop Computer",
"Shenzhen TongLiang Intelligent Technology Co.,Ltd",TaiNEX 2,Intelligent Business Solutions,P1308a,,Mobile POS,2026-03
Shenzhen Transcom Technology Limited,TaiNEX 1,Advanced Communication & Networking,K1403,Transcom,"Fiber Media Converter,Other Networking,Fiber Optical Transceiver,Optical Fiber,Fiber Optical Termination Box,5G/5G-A/6G Related Products ,Wi-Fi / ZigBee Dongle & Module",2026-03
SHENZHEN WHALEKOM TECHNOLOGY CO LTD,TaiNEX 2,Storage & Management Solutions,R0008,whalekom,"Solid State Drive (SSD),USB Flash Drive,Networking Storage,DRAM",2026-03
"SHENZHEN XASTRA TECHNOLOGY CO.,LTD",TaiNEX 2,Consumer Electronic Accessories,Q1105,,"Computer Case,Computer Power Supply,PC Cooling & Fan",
"Shenzhen Xfanic Technology Co., Ltd",TaiNEX 2,Consumer Electronic Accessories,P0225,,"Live Streaming Solutions,KVM Cable & Switch,USB Adapter, Cable & Hub,Bluetooth Adapter & Receiver,GaN/SiC USB Charger",2026-03
"SHENZHEN XIN SAIKE TECHNOLOGY CO., LTD.",TaiNEX 2,Industrial IoT & Embedded Systems,P1403,,"Automated & Industrial Controller Module,Embedded Processor,Industrial Motherboard",
"ShenZhen Xinhongsheng Electronic Co., Ltd.",TaiNEX 1,System Integration Solution,L0008,"DIANJI, WINNFOX","All-In-One & Desktop Computer,Industrial Motherboard,PC Motherboard,Graphics Card",2026-03
"SHENZHEN XINSPOWER TECHNOLOGY CO., LTD.",TaiNEX 2,Consumer Electronic Accessories,Q0102,XINSPOWER,"Switching Power Supply,AC / DC Adapter,Computer Power Supply,Fast Charging Technology,Socket",2026-03
"Shenzhen YiJieTong Technology Co., Ltd.",TaiNEX 2,Intelligent Business Solutions,P1303,,"Point of Sales PC ,POS Accessories",2026-03
"Shenzhen Zhiwei Technology Co.,Ltd",TaiNEX 1,System Integration Solution,L0003,zwide,"Mini PC Barebone,All-In-One & Desktop Computer,Laptop Computer",2026-03
"SHENZHENSHI JIUMENG ELECTRONICS TECHNOLOGY CO.,LTD",TaiNEX 1,Components & Advanced Power Tech,I1329a,JIUMENG,"Switching Power Supply,Computer Power Supply,AI Switching Power Supply",
SHINSEGAE Information & Communication Inc.,TWTC Hall 1,Robotics,A0618,,,2026-03
Shinyilian Co. | Ltd.,TaiNEX 2,InnoVEX,S0923,,,2026-03
"SHIU LI TECHNOLOGY CO., LTD",TWTC Hall 1,Robotics,A0803a,,Thermal Adhesive & Grease,2026-03
"Shiunn Yang Ent., Ltd.",TaiNEX 1,Advanced Communication & Networking,K0423a,SS-NET,Other Networking,2026-03
Shuttle Inc.,TaiNEX 2,AI Computing & System Integration Solution,R0114,"Shuttle,XPC",Mini PC Barebone,
Siemens Ltd.,TaiNEX 1,AI Computing & Tech,J0333,,"Robotic Arm,Automated & Industrial Controller Module,Programmable Automation Controller (PAC) / Programmable Logic Controller (PLC),Industrial Computer,Human Machine Interface (HMI)",2026-03
SIGHT Space Co. | Ltd.,TaiNEX 2,InnoVEX,S1014,,,2026-03
SIL RADAR TECHNOLOGY INC.,TWTC Hall 1,TechXperience,A0208,,Other Sensors,2026-03
SilentTech Co. | Ltd.,TaiNEX 2,InnoVEX,S1014,,,2026-03
"Silicon Motion, Inc.",TaiNEX 1,Semiconductors & Hospitality Suites,G0001,Silicon Motion,"IC Design, Packaging & Foundry",2026-03
Silicon Power Computer and Communications Inc.,TaiNEX 1,Components & Advanced Power Tech,I0808,SP Silicon Power,DRAM,2026-03
SIN YU TECHNOLOGY INC.,TWTC Hall 1,Robotics,A0907a,SIN YU,Robotic Arm,
"Sinew Technology Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q1129,Sinew,Other Computer Peripherals,
"SINGBEE ENTERPRISE CO., LTD",TWTC Hall 1,TechXperience,D0715a,,"Other Mobile Phone & Tablet PC Accessories,Other Computer Components & Parts",2026-03
Sinobest International Technology Limited,TWTC Hall 1,TechXperience,A1319a,,Other Computer Components & Parts,2026-03
Sinotex International Industrial Limited,TaiNEX 1,Gaming,L0024,NINJA,Graphics Card,2026-03
SINOX COMPANY LTD.,TaiNEX 2,Consumer Electronic Accessories,Q0805,,Computer Lock,
SiPearl,TaiNEX 2,InnoVEX,S1216,SiPearl,,
SK hynix,TaiNEX 1,International,N0501a,SK hynix,"DRAM & NAND Memory solutions for AI, Data centers, Automotive, PC, Mobile and etc.",2026-03
"Skycable Enterprise Co., Ltd",TaiNEX 1,Advanced Communication & Networking,K1229,,"Communication Cable,Other Networking",
SkyCloud Computing,TaiNEX 2,InnoVEX,S1208,,,2026-03
Skymizer Taiwan Inc.,TaiNEX 2,AI Computing & System Integration Solution,R0923,Skymizer,,
Small and Medium Enterprise and Startup Administration | Ministry of Economic Affairs,TaiNEX 2,InnoVEX,S0311a,,,2026-03
SmartDisplayer Technology Co. | Ltd.,TaiNEX 2,InnoVEX,S0705,,,2026-03
Solar Energy International Co. Ltd.,TaiNEX 2,Storage & Management Solutions,R0004,"SAMSUNG, HYNIX, MICRON, NANYA, ELPIDA, KINGSTON, KUK, K-ONE, K-BOX",,2026-03
SolarSDGs Inc.,TaiNEX 2,InnoVEX,S0304,,Clean Energy,2026-03
Solid State Storage Technology Corporation(SSSTC),TaiNEX 2,Storage & Management Solutions,R0924a,SSSTC,Solid State Drive (SSD),
"Solid State System Co., Ltd.",TWTC Hall 1,Robotics,A1115a,,Other Sensors,
SolidRun Ltd.,TaiNEX 2,InnoVEX,S0905,,,2026-03
Solleron Corporation,TaiNEX 1,Components & Advanced Power Tech,I0429a,,Computer Case,2026-03
Solomon Systech Limited,TWTC Hall 1,ePaper Pavilion,D0136,,"IC Design, Packaging & Foundry",
Solomon Technology Corp.,TWTC Hall 1,Robotics,A0811a,SOLOMON,,2026-03
"SOLUM CO., Ltd.",TWTC Hall 1,ePaper Pavilion,D0507a,,E-paper Display,2026-03
Solution33 Limited Company,TWTC Hall 1,TechXperience,D0627a,,Other Computer Peripherals,2026-03
Sonice AIoE Corporation,TaiNEX 1,Smart Mobility and Drone Tech,N0814,好友電 Sonice Charge,,2026-03
SonicFi Inc.,TWTC Hall 1,TechXperience,A0210,"SonicFi,CyberTAN,CyberTAN Technology","Network Switch,Other Networking",2026-03
SORABITO Inc.,TaiNEX 2,InnoVEX,S0118,,,2026-03
SOTATEK VIET NAM TECHNOLOGY JOINT STOCK COMPANY,TaiNEX 2,InnoVEX,S0004,,,2026-03
SOTI Inc,TaiNEX 1,International,N0526,,Cloud Computing & IT Services,
Southco Asia Limited,TaiNEX 1,AI Computing & Tech,J0302,,"AI Server ,AI Air Cooling / Liquid Cooling System ,Immersion Cooling",
Southern Alberta Institute of Technology (SAIT),TaiNEX 2,InnoVEX,S0506,,,2026-03
"Southern Taiwan IC Design Industry Promotion Hub, Industrial Development Administration, Ministry of Economic Affairs",TaiNEX 1,System Integration Solution,M1111a,,"IC Design, Packaging & Foundry",2026-03
"Southern Taiwan Science Park Bureau, National Science and Technology Council",TWTC Hall 1,Robotics,A0711a,,Industrial Automatic & Smart Machinery Turnkey Equipment,2026-03
Sovran Company Limited,TWTC Hall 1,TechXperience,A0303,,Thermal Adhesive & Grease,2026-03
Sower Tech Co. | Ltd,TaiNEX 2,InnoVEX,S1014,,,2026-03
"SparkLAN Communications, Inc.",TaiNEX 1,Advanced Communication & Networking,K0323a,SparkLAN,,2026-03
"Sparkle Computer Co., LTD.",TaiNEX 1,Components & Advanced Power Tech,J1101,Sparkle,Graphics Card,2026-03
Speedyfibertx Co. | LTD.,TaiNEX 2,InnoVEX,S0703,,,2026-03
"Spingence Technology Co., Ltd.",TaiNEX 2,InnoVEX,S0712a,,,2026-03
SqueezeBits,TaiNEX 2,InnoVEX,S0304,,,2026-03
SSI COMPUTER CORP.,TaiNEX 2,Consumer Electronic Accessories,Q1018,SSI,"Other Computer Components & Parts,Disk Enclosure,Other Drives, Storage & Blank Media,KVM Cable & Switch,Network Adapter / Network Interface Card (NIC)",2026-03
ST Medical Technology INC.,TaiNEX 2,InnoVEX,S0923,,,2026-03
Star Solutions International Inc.,TaiNEX 2,InnoVEX,S0506,,,2026-03
StarFab,TaiNEX 2,InnoVEX,S0712a,,,2026-03
StarSync,,,,StarSync,,2026-03
StarVedia Technology Inc.,TaiNEX 1,Advanced Communication & Networking,K0020,StarVedia,IP Camera,2026-03
STAUBLI (H.K.) LTD.TAIWAN BRANCH,TaiNEX 1,International,N0626,STAUBLI,"Socket,Computer Cables & Connectors",2026-03
STR8 Industries,TaiNEX 2,InnoVEX,S0724,,,2026-03
"StreamActivate Co., Ltd.",TaiNEX 2,InnoVEX,S0304,,Big Data & Analytics / AI,2026-03
Strong-Wave Radio Technology Inc.,TaiNEX 2,InnoVEX,S0323a,,,2026-03
Studiomapp,TaiNEX 2,InnoVEX,S1008,,,2026-03
Subject Link Inc. (Sbjlink),TWTC Hall 1,Robotics,A0903a,Sbjlink,"Network Hub,Gateway,Fiber Media Converter,Network Switch,Other Networking",
SUM EASY ENTERPRISE CO. | LTD.,TaiNEX 2,InnoVEX,S0705,,,2026-03
Summit Sincerity Global Limited,TaiNEX 2,Storage & Management Solutions,R0601d,"intel,samsung,AMD","Other Computer Components & Parts,Hard Disk Drive (HDD),Solid State Drive (SSD),Memory Card,Other Drives, Storage & Blank Media,Graphics Card,DRAM,CPU/GPU/APU",
"SUNCA Co., Ltd.",TaiNEX 1,Advanced Communication & Networking,K0528,,"Communication Cable,Handheld Cable,Other Mobile Phone & Tablet PC Accessories,VR / AR / MR / XR Applications,Other Computer Peripherals,Computer Cables & Connectors,USB Adapter, Cable & Hub",2026-03
"SUNIX Co., Ltd",TaiNEX 2,Industrial IoT & Embedded Systems,Q0602,SUNIX,"Automatic Guided Vehicle (AGV) System,Other Industrial Automatic Equipment & Smart Machinery,Embedded Products,Other Add-On & Interface Cards,IIoT Solution",2026-03
SunLED Life Science,TaiNEX 2,InnoVEX,S0530,,,2026-03
SUNLIKE DISPLAY TECH. CORP.,TaiNEX 2,Industrial IoT & Embedded Systems,P1318a,,"LED Display Module,LCD Display Module,Embedded Products,Human Machine Interface (HMI),Touch Screen Monitor & Panel,OLED Monitor,IIoT Solution",2026-03
"Sunny Computer Technology Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q0310,SUNNY,AC / DC Adapter,
Sunrich Technology (H.K.) Limited,TaiNEX 1,International,N0721,ST Lab,"Sound Card,Other Add-On & Interface Cards,USB Adapter, Cable & Hub,Bluetooth Adapter & Receiver,Network Switch,Network Adapter / Network Interface Card (NIC),Other Networking",
"Sunyon Industry Co.,Ltd Dong Guan China",TaiNEX 1,International,N1325a,,"Thermal Adhesive & Grease,PC Cooling & Fan",
Super Flower Computer Inc.,TaiNEX 1,Components & Advanced Power Tech,I0629,SUPER FLOWER,Computer Power Supply,2026-03
Superb AI Inc.,TaiNEX 2,InnoVEX,S0712a,,,2026-03
Superior Electronics Corporation,TWTC Hall 1,TechXperience,A1112,"ENFORCER,SECO-LARM","Photoelectric Sensor,Biometircs System",
"SUPERIOR TECH CO., LTD.",TWTC Hall 1,TechXperience,A0140,,Electrical Connectors,2026-03
SUPERMICRO,TaiNEX 1,International,N0602,SUPERMICRO,"AI Server ,System Integration ,Edge Computing ,Generative AI / LLM ,AI Air Cooling / Liquid Cooling System ,Data Center (DC) / Cloud Service Provider (CSP)",2026-03
"SUPERTURN INTERNATIONAL CO., LTD",TaiNEX 1,Components & Advanced Power Tech,I0118,"Superchannel,SAMA先馬,視博通,Amiiba","Computer Case,Computer Power Supply,PC Cooling & Fan",2026-03
"Suzhou BEEHE Technology Co., Ltd",TaiNEX 1,Components & Advanced Power Tech,I0012,BEEHE,AI Air Cooling / Liquid Cooling System,
Synaptics,TaiNEX 2,Semiconductors & Hospitality Suites,X0022,,"IC Design, Packaging & Foundry",
SYNergy ScienTech Corp,TWTC Hall 1,TechXperience,A1003a,,Other,2026-03
Syno Compute X Co. | Ltd.,TaiNEX 2,InnoVEX,S1014,,,2026-03
Synology Inc.,TaiNEX 1,AI Computing & Tech,J0102,Synology,Operation System,2026-03
Synstream Pte Limited,TaiNEX 2,InnoVEX,S0304,,Big Data & Analytics / AI,2026-03
Syntronix Corporation,TaiNEX 1,System Integration Solution,M1111a,,"IC Design, Packaging & Foundry",2026-03
Sysgration Ltd.,TaiNEX 1,Smart Mobility and Drone Tech,N0814,,Air Drone,2026-03
"T-Global Technology Co., Ltd.",TWTC Hall 1,Robotics,D0402,T-Global,Thermal Adhesive & Grease,
"T-MOD ENTERPRISE CO., LTD.",TaiNEX 1,Advanced Communication & Networking,K0515,"Swann,archgon","Lithium & Li-ion Battery,Heat Sink & Pipe,Solid State Drive (SSD),Optical Disc Drive,IP Camera,Energy Integration Services",2026-03
"T3 Industrial Co., Ltd.",TaiNEX 1,Advanced Communication & Networking,K0427,,Other Networking,
"TAI JEOU POLYMER CHEMICAL CO., LTD.",TWTC Hall 1,TechXperience,A1103,WILITA,,2026-03
"Tai Ming Electronics Co., Ltd.",TaiNEX 2,Industrial IoT & Embedded Systems,P1317,,Embedded Products,
Taipei Exchange,TaiNEX 2,InnoVEX,S1208,,,2026-03
Taiwan Advanced Automotive Technology Development Association,TaiNEX 1,Smart Mobility and Drone Tech,N0814,,"Automobile Chip & Cruise Control,Electric Vehicle Battery & Charger,ADAS (Advanced Driver Assistance System),Other Automobile Electronics,Smart Cockpit",2026-03
"TAIWAN ALPHA ELECTRONIC CO., LTD.",TaiNEX 2,Intelligent Business Solutions,P0101,TAIWAN ALPHA,"Sensors,Pressure Sensor,Other Sensors",2026-03
"TAIWAN COSMO INSTRUMENTS CO.,LTD.",TaiNEX 1,AI Computing & Tech,J1329a,,,2026-03
TAIWAN ENERGY CO.. LTD.,TaiNEX 2,InnoVEX,S0705,,,2026-03
Taiwan Excellence / Taiwan BIZ Fun,TaiNEX 1,International,L2006,,Others,2026-03
"Taiwan Flying Vehicle Co., Ltd.",TaiNEX 2,InnoVEX,S0311a,,,2026-03
"Taiwan FORUM8 Software Technology Co., Ltd.",TaiNEX 1,Smart Mobility and Drone Tech,N0930,"UC-win/Road,EXODUS/SMARTFIRE,VR-CLOUD,F8VPS,F8NFT","VR / AR / MR / XR Applications,Virtual Spaces,Application Software,Educational & Training Software",2026-03
Taiwan Infobip Limited,TWTC Hall 1,TechXperience,A1313a,,,2026-03
"Taiwan Intelligence Research and Development CO., LTD.",TaiNEX 1,AI Computing & Tech,J0334,,"Cloud Computing & IT Services,Business Intelligence Service",2026-03
Taiwan Intelligent Pollutant Sensing Co. | Ltd.,TaiNEX 2,InnoVEX,S0923,,,2026-03
Taiwan Microelectronics Technologies Inc.,TaiNEX 1,Advanced Communication & Networking,K0015,"TM1001,TM1018,TM2009","IC Design, Packaging & Foundry",2026-03
Taiwan Microgrid Technology,TaiNEX 2,InnoVEX,S0304,,Energy Management,2026-03
"TAIWAN OHARA OPTICAL CO.,LTD.",TaiNEX 1,International,N1324,,VR/AR/MR Glasses,
"Taiwan Petro Conveyor Transmission Machinery Parts Co., Ltd.",TWTC Hall 1,TechXperience,A0303a,PETROHOSE,Other Computer Components & Parts,2026-03
Taiwan Secom Company Ltd.,TaiNEX 1,Smart Mobility and Drone Tech,N1014,中保無限+,Air Drone,2026-03
"TAIWAN SELF-LOCKING CO., LTD.",TWTC Hall 1,TechXperience,A0309,"NYLOK,PRECOTE,3M、Loctite",Other Computer Components & Parts,2026-03
Taiwan Smart Textiles Association,TaiNEX 1,System Integration Solution,N1213a,,,2026-03
"Taiwan Super Power Distribution Systems Co., Ltd.",TWTC Hall 1,TechXperience,A0320,,,
Taiwan Tai-Hao Enterprise Co. Ltd.,TaiNEX 2,Consumer Electronic Accessories,Q0313a,Clicker,"PC Keyboard,Mouse",2026-03
Taiwan Textile Research Institute,TaiNEX 1,System Integration Solution,N1213a,,,2026-03
"TAIWAN ULTRAFORCE MEASUREMENT CO., LTD.",TWTC Hall 1,Robotics,A1015a,,"Robot,Robotic Arm,Other Industrial Automatic Equipment & Smart Machinery,IIoT Solution",2026-03
"TAIWAN ZSNOW TECHNOLOGY Co., LTD",TWTC Hall 1,TechXperience,A0304,,"Electrical Connectors,Computer Cables & Connectors",2026-03
TaiwanPlus,TWTC Hall 1,Media,A0203,,,
"Taiwantrade, TAITRA",TaiNEX 2,Consumer Electronic Accessories,Q0319a,,Other Mobile Phone & Tablet PC Accessories,2026-03
"TALENTPROS SYSTEM INNOVATION CO., LTD.",TaiNEX 1,System Integration Solution,M1111a,,"IC Design, Packaging & Foundry",2026-03
Tangent AI Co. | Ltd.,TaiNEX 2,InnoVEX,S1320,,,2026-03
"TANGRAM CO., Ltd.",TaiNEX 1,Smart Mobility and Drone Tech,N0814,,,2026-03
Taoyuan City Government Department of Youth Affairs,TaiNEX 2,InnoVEX,S1014,,,2026-03
Taption,TaiNEX 2,InnoVEX,S0527,,Other,2026-03
"TATSUTA Electric Wire and Cable Co., Ltd.",TaiNEX 1,International,N1423,TATSUTA,Liquid Cooling System,
"TE Automation CO., LTD.",TaiNEX 2,InnoVEX,S0311a,,,2026-03
Team Group Inc.,TaiNEX 2,Industrial IoT & Embedded Systems,P1225,TEAMGROUP INDUSTRIAL,"Solid State Drive (SSD),Memory Card",2026-03
Team Group Inc.,TaiNEX 1,Components & Advanced Power Tech,I0407a,Team,"Solid State Drive (SSD),Disk Enclosure,USB Flash Drive,Memory Card,DRAM",2026-03
"Teamlead Optical Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q1429,,"Laptop Computer,PC Motherboard,Other Computer Peripherals",
Tech Mahindra,TaiNEX 1,International,N1232,,"IC Design, Packaging & Foundry,VR / AR / MR / XR Glasses,Mobile App",
"TECH-X SERVICE CO., LTD.",TaiNEX 2,InnoVEX,S1004,,"Platform,International",2026-03
TechNews,TWTC Hall 1,Media,A0117,,,2026-03
Technic France,TaiNEX 2,InnoVEX,S1216,Technic,,
Technica House Inc.,TaiNEX 2,Industrial IoT & Embedded Systems,P0721,Microflex,"Industrial Computer,Embedded Products,Industrial Motherboard,Human Machine Interface (HMI),Touch Screen Monitor & Panel",2026-03
"TECNISCO, LTD.",TaiNEX 1,Components & Advanced Power Tech,I1001a,"T1K, arCuDia","AI Air Cooling / Liquid Cooling System,AI Switching Power Supply,Liquid Cooling System,Heat Dissipation Material,Immersion Cooling",
"TEKA Technology Co.,Ltd",TWTC Hall 1,Robotics,A0910,TEKA,AC / DC Adapter,2026-03
Teknobuilt,TaiNEX 2,InnoVEX,S0506,,,2026-03
Telebox Industries Corp,TaiNEX 1,Advanced Communication & Networking,K0011,,"Computer Cables & Connectors,Other Networking",2026-03
Telit Wireless Solutions HK Limited,TaiNEX 1,Advanced Communication & Networking,K1205,Telit Cinterion,LPWAN Module (LTE / NBIoT / LoRa / Sigfox / Weightless),2026-03
"TELON Technology CO,LTD.",TWTC Hall 1,TechXperience,A0434,Montech,"Computer Case,PC Keyboard",2026-03
Tenfolda AI,TaiNEX 2,InnoVEX,S1014,,,2026-03
Tera Electronics Corp.,TaiNEX 2,InnoVEX,S0923,,,2026-03
Terafence LTD,TaiNEX 2,InnoVEX,S0905,,,2026-03
"TEVII TECHNOLOGY CO.,LTD.",TaiNEX 1,Advanced Communication & Networking,K1407,,"Wireless Audio Receiver, Adapter & Transmitter",2026-03
Texas Instruments,TaiNEX 1,System Integration Solution,N1201a,,"Sound Card,Automobile Sensor",2026-03
Texas Instruments,TWTC Hall 1,Robotics,A1026,,"Robotic Arm,Microcontroller(MCU)",2026-03
"Thailand Trade and Economic Office, Taipei",TaiNEX 2,InnoVEX,S1004,,Other,2026-03
The Executive Centre,TaiNEX 2,InnoVEX,S0528,,,2026-03
The Regional Municipality of York,TaiNEX 1,International,N0526,York Link - Toronto Areas York Region,Government/Foreign Direct Investment,
Thekapco,TaiNEX 2,InnoVEX,S0409,,"Gaming & Entertainment,Edge AI",
Thermal Grizzly Holding GmbH,TaiNEX 1,Gaming,M1302,"Thermal Grizzly, DeltaMate","Electrical Connectors,Thermal Adhesive & Grease,PC Cooling & Fan,Other Computer Components & Parts,Liquid Cooling System,Heat Dissipation Material",
Thermaltake,TaiNEX 1,International,N0102,,"Computer Case,Computer Power Supply,PC Cooling & Fan,Electric Motorcycle ,Gaming Desktop ,Liquid Cooling System ,Gaming Monitor ,Gaming Keyboard",2026-03
Thousbrains,TaiNEX 2,InnoVEX,S0923,,,2026-03
"ThroughTek Co., Ltd.",TaiNEX 2,Intelligent Business Solutions,P0403,"ThroughTek,TUTK,Kalay",Business Intelligence Service,
TianXing Intelligent,TaiNEX 2,InnoVEX,S0323a,,,2026-03
TIMEWELL Inc.,TaiNEX 2,InnoVEX,S1013,,,2026-03
TIRS Optics Co. | Ltd,TaiNEX 2,InnoVEX,S1014,,,2026-03
TONE YE TECHNOLOGY INC.,TaiNEX 2,Consumer Electronic Accessories,Q1306a,TONE.YE,"Microphone,Portable Speaker",2026-03
"TOP PING INTERNATIONAL CO., LTD",TaiNEX 2,Consumer Electronic Accessories,Q1415,"ARKY,XINDAO,KORIN",Other Computer Peripherals,2026-03
Top-Level patent INC.,TaiNEX 2,InnoVEX,S1316,,,2026-03
"Topdisk Enterprise Co., Ltd",TaiNEX 2,Storage & Management Solutions,R1331,,"Solid State Drive (SSD),Disk Enclosure,USB Flash Drive,Memory Card,Other Drives, Storage & Blank Media,OTG Adapter / Hub / Flash Drive",
TopoLogic Inc.,TaiNEX 2,InnoVEX,S0724,,,2026-03
TOPSCCC TECHNOLOGY CO.LTD,TaiNEX 2,Industrial IoT & Embedded Systems,P1302c,EXPERTDAQ,Automated & Industrial Controller Module,2026-03
TOPVISION ELECTRONICS INC,TaiNEX 2,Intelligent Business Solutions,P0504,,,2026-03
"TOTAL CASH SYSTEMS CO.,LTD",TaiNEX 2,Intelligent Business Solutions,P0710,"TCS,NASCO","POS System,Kiosk,Bar Code Scanner,Business Intelligence Service ,Mobile POS ,Digital Signage ,POS Accessories ,Point of Sales PC",2026-03
"Total Technologies, Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q0815,,"USB Adapter, Cable & Hub",
Toung Mei Corporation,TaiNEX 2,Consumer Electronic Accessories,Q1202a,"Artery,INVENTEC PERFORMANCE CHEMICALS,SMK",PC Cooling & Fan,2026-03
toyopla inc.,TaiNEX 2,InnoVEX,S0920,,other,2026-03
TPIsoftware,TaiNEX 2,InnoVEX,S0524,,"Enterprise Software & SaaS,Generative AI & LLM",2026-03
TrackDeep,TaiNEX 2,InnoVEX,S0304,,,2026-03
"Trans Electric Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q1024,PX,"Handheld Cable,Wireless Audio Receiver, Adapter & Transmitter,Power Bank,Other Computer Peripherals",2026-03
"Trans Electric Co., Ltd.",TWTC Hall 1,Robotics,A0909a,PX,,2026-03
"Transcend Information, Inc.",TaiNEX 2,Storage & Management Solutions,R1206,Transcend,Solid State Drive (SSD),2026-03
"TRANSOUND ELECTRONICS CO., LTD.",TaiNEX 2,Consumer Electronic Accessories,Q1411,TRANS SOUND,"Head & Bluetooth Earphone,VR HMD,PC Speaker,Other Computer Peripherals",2026-03
travelverse,TaiNEX 2,InnoVEX,S1008,,,2026-03
Trend Micro Incorporated,TaiNEX 1,System Integration Solution,L0417a,,Antivirus & Security Software,
"TRI-NET ELECTRONICS CO., LTD.",TWTC Hall 1,TechXperience,D0613a,,,2026-03
"TRICOMTEK CO.,LTD.",TWTC Hall 1,TechXperience,A1315a,,LCD Display Module,
Trillion-Sr International Corporation,TaiNEX 2,InnoVEX,S0512,,,2026-03
"TRUEEAST ENTERPRISE CO., LTD.",TaiNEX 2,Consumer Electronic Accessories,Q0431a,,Laptop Bag,2026-03
TRYX,TaiNEX 1,System Integration Solution,M1319a,TRYX,"Computer Case,PC Cooling & Fan,Liquid Cooling System,Gaming Desktop",2026-03
